ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
PDC-214,3006591,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
EstT,3007459,protein homolog model,CARD; Resistomes & Variants,Sphingobacterium faecium; Bacteroides thetaiotaomicron; Glaesserella parasuis; Histophilus somni; Riemerella anatipestifer; Myroides odoratimimus; Escherichia coli,macrolide esterase,macrolide antibiotic; glycylcycline; tetracycline antibiotic,antibiotic inactivation
PDC-302,3006673,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
FusF,3004663,protein homolog model,CARD,Staphylococcus cohnii,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection
lnuB,3002836,protein homolog model,Resistomes & Variants,Streptococcus agalactiae,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
vanR gene in vanL cluster,3002927,protein homolog model,CARD,Enterococcus faecalis,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
AQU-2,3004647,protein homolog model,CARD,Aeromonas hydrophila,AQU beta-lactamase,cephalosporin,antibiotic inactivation
MexL,3003710,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
lsaD,3005121,protein homolog model,Resistomes & Variants,Lactococcus garvieae,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
PDC-104,3005305,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-209,3006587,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-248,3006626,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-381,3006751,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-436,3006805,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
SAT-2,3002895,protein homolog model,Resistomes & Variants,Escherichia coli,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation
PDC-14,3005127,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-126,3006502,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-24,3006618,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-374,3006745,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-8,3002507,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-111,3006489,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-35,3006719,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
cprS,3005064,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration; antibiotic efflux
EC-8,3006881,protein homolog model,Resistomes & Variants,Escherichia fergusonii,EC beta-lactamase,cephalosporin,antibiotic inactivation
msrE,3003109,protein homolog model,CARD; Resistomes & Variants,Acinetobacter baumannii; Citrobacter werkmanii; Enterobacter hormaechei; Pseudomonas stutzeri; Pseudomonas aeruginosa,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection
mdsB,3000790,protein homolog model,Resistomes & Variants,Salmonella enterica,resistance-nodulation-cell division (RND) antibiotic efflux pump,monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem,antibiotic efflux
dfrG,3002868,protein homolog model,Resistomes & Variants,Staphylococcus pseudintermedius; Staphylococcus epidermidis; Enterococcus faecalis; Staphylococcus aureus,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
PDC-107,3006485,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PAM-2,3007200,protein homolog model,CARD,Pseudomonas tohonis,PAM beta-lactamase,carbapenem; cephalosporin,antibiotic inactivation
APH(3')-IIc,3002646,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
msrC,3002819,protein homolog model,CARD; Resistomes & Variants,Enterococcus faecium,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,antibiotic target protection
adeR,3000553,protein homolog model,Resistomes & Variants,Acinetobacter nosocomialis; Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,antibiotic efflux
TEM-26,3000896,protein homolog model,CARD,Enterobacter kobei,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-240,3005270,protein homolog model,CARD,Klebsiella variicola,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-229,3005260,protein homolog model,Resistomes & Variants,Acinetobacter haemolyticus,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
EC-15,3006876,protein homolog model,Resistomes & Variants,Escherichia coli,EC beta-lactamase,cephalosporin,antibiotic inactivation
PDC-3,3002500,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CfiA19,3006911,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
OXA-85,3001780,protein homolog model,CARD,Fusobacterium nucleatum,OXA beta-lactamase,penam,antibiotic inactivation
Erm(31),3000598,protein homolog model,CARD,Streptomyces venezuelae,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
msrF,3005087,protein homolog model,Resistomes & Variants,Macrococcus canis,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection
TEM-31,3000901,protein homolog model,CARD,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
OXA-60,3001808,protein homolog model,CARD; Resistomes & Variants,Ralstonia pickettii,OXA beta-lactamase; OXA-60-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-334,3001522,protein homolog model,Resistomes & Variants,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-309,3001504,protein homolog model,Resistomes & Variants,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
vgaD,3002832,protein homolog model,CARD,Enterococcus faecium,vga-type ABC-F protein,streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
salD,3007028,protein homolog model,Resistomes & Variants,Staphylococcus equorum,sal-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
ACT-8,3001831,protein homolog model,Resistomes & Variants,Enterobacter cancerogenus,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
TEM-216,3001393,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
PDC-246,3006624,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-410,3006780,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
FosD,3004674,protein homolog model,CARD; Resistomes & Variants,Staphylococcus aureus; Staphylococcus epidermidis,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
OXA-23,3001418,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,OXA beta-lactamase; OXA-23-like beta-lactamase,carbapenem; penam,antibiotic inactivation
rosB,3003049,protein homolog model,CARD,Yersinia enterocolitica,major facilitator superfamily (MFS) antibiotic efflux pump,peptide antibiotic,antibiotic efflux
ACI-1,3004359,protein homolog model,CARD,Acidaminococcus fermentans,ACI beta-lactamase,cephalosporin; penam; penem,antibiotic inactivation
adeN,3000559,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,antibiotic efflux
mepR,3000746,protein homolog model,CARD; Resistomes & Variants,Staphylococcus aureus,multidrug and toxic compound extrusion (MATE) transporter,glycylcycline; tetracycline antibiotic,antibiotic efflux
OXA-570,3005324,protein homolog model,CARD,Ralstonia insidiosa,OXA beta-lactamase; OXA-60-like beta-lactamase,carbapenem; penam,antibiotic inactivation
PDC-64,3006845,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-95,3006848,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
AAC(6')-IIa,3002594,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans; Acinetobacter pittii; Actinobacillus pleuropneumoniae; Aeromonas caviae; Aeromonas hydrophila; Aeromonas veronii; Alcaligenes faecalis; Bordetella trematum; Citrobacter freundii; Enterobacter hormaechei; Enterobacter kobei; Escherichia coli; Klebsiella michiganensis; Klebsiella oxytoca; Klebsiella pneumoniae; Laribacter hongkongensis; Leclercia adecarboxylata; Proteus mirabilis; Pseudomonas aeruginosa; Pseudomonas putida; Pseudomonas mendocina; Pseudomonas monteilii; Pseudomonas stutzeri; Stenotrophomonas maltophilia; Vibrio cholerae,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
TEM-126,3000988,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-52,3000921,protein homolog model,CARD,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-142,3001005,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-10,3000882,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-181,3001044,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-115,3000978,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
MOX-12,3006477,protein homolog model,Resistomes & Variants,Aeromonas caviae; Aeromonas hydrophila,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
oqxB,3003923,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,antibiotic efflux
EreD,3004608,protein homolog model,CARD; Resistomes & Variants,Riemerella anatipestifer; Bacteroides fragilis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus,macrolide esterase,macrolide antibiotic,antibiotic inactivation
AAC(6')-Ib-cr1,3002547,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'); AAC(6')-Ib-cr,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation
Streptococcus suis chloramphenicol acetyltransferase,3004455,protein homolog model,Resistomes & Variants,Streptococcus pneumoniae,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
dfrA8,3002863,protein homolog model,CARD; Resistomes & Variants,Salmonella enterica; Citrobacter amalonaticus; Enterobacter asburiae; Enterobacter cloacae; Enterobacter hormaechei; Escherichia albertii; Escherichia coli; Klebsiella pneumoniae; Providencia rettgeri; Pseudomonas aeruginosa; Serratia marcescens; Shigella flexneri; Shigella sonnei; Vibrio cholerae,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
QnrB19,3002734,protein homolog model,CARD,Escherichia coli,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
vanF,3002908,protein homolog model,CARD,Paenibacillus popilliae,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration
vanS gene in vanD cluster,3002934,protein homolog model,CARD,Enterococcus faecium,vanS; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
Escherichia coli ampC beta-lactamase,3004290,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,ampC-type beta-lactamase,cephalosporin; penam,antibiotic inactivation
TEM-228,3005259,protein homolog model,CARD,Neisseria gonorrhoeae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
Staphylococcus aureus mupB conferring resistance to mupirocin,3000510,protein homolog model,CARD,Staphylococcus aureus,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,antibiotic target alteration
AAC(6')-Im,3004629,protein homolog model,Resistomes & Variants,Campylobacter coli; Histophilus somni,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
TEM-19,3000890,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
CMY-2,3002013,protein homolog model,Resistomes & Variants,Escherichia coli,CMY beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
AAC(6')-Iy,3002569,protein homolog model,Resistomes & Variants,Salmonella enterica,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
mef(H),3007047,protein homolog model,Resistomes & Variants,Enterococcus faecium,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
OXA-898,3005094,protein homolog model,Resistomes & Variants,Ralstonia pickettii,OXA beta-lactamase; OXA-60-like beta-lactamase,carbapenem; penam,antibiotic inactivation
CTX-M-38,3001900,protein homolog model,CARD,Klebsiella pneumoniae,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
CMY-174,3006463,protein homolog model,Resistomes & Variants,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
